Date,Open,High,Low,Close,Adj Close,Volume
2016-09-06,73.019997,73.500000,71.930000,72.000000,68.342621,7066000
2016-09-07,71.959999,72.330002,70.870003,71.750000,68.105331,7301300
2016-09-08,71.239998,71.599998,70.440002,70.669998,67.080215,5009600
2016-09-09,70.440002,71.300003,70.099998,70.580002,66.994766,5818700
2016-09-12,70.489998,71.919998,70.059998,71.769997,68.366478,5023600
2016-09-13,71.570000,71.709999,70.050003,70.379997,67.042381,4145800
2016-09-14,70.419998,71.669998,70.250000,71.510002,68.118813,5729800
2016-09-15,71.500000,72.610001,71.089996,72.529999,69.090439,4934100
2016-09-16,71.889999,72.360001,71.110001,71.910004,68.499855,9022600
2016-09-19,71.919998,72.470001,71.519997,71.830002,68.423637,4095400
2016-09-20,71.930000,72.309998,71.290001,71.720001,68.318848,2792700
2016-09-21,71.620003,72.260002,71.400002,72.180000,68.757027,3098500
2016-09-22,72.389999,72.800003,71.589996,71.889999,68.480782,4682900
2016-09-23,71.269997,72.500000,71.260002,72.089996,68.671303,2711800
2016-09-26,71.629997,72.000000,71.500000,71.690002,68.290283,2461600
2016-09-27,71.839996,72.360001,71.290001,71.599998,68.204544,2416500
2016-09-28,71.330002,71.339996,70.389999,70.500000,67.156708,3430800
2016-09-29,70.260002,70.349998,69.160004,69.320000,66.032677,4832200
2016-09-30,69.580002,70.470001,68.769997,69.989998,66.670891,4880800
2016-10-03,69.269997,69.860001,68.400002,69.699997,66.394669,5168500
2016-10-04,68.599998,69.279999,67.949997,68.050003,64.822906,5178100
2016-10-05,68.000000,68.330002,66.500000,66.970001,63.794113,4304800
2016-10-06,67.000000,69.110001,66.879997,69.050003,65.775475,4248000
2016-10-07,69.279999,69.860001,69.070000,69.660004,66.356537,3844300
2016-10-10,69.709999,70.000000,68.900002,69.410004,66.118401,2914500
2016-10-11,69.430000,69.449997,68.209999,68.699997,65.442062,3161600
2016-10-12,68.830002,69.379997,68.599998,69.059998,65.785004,2210000
2016-10-13,68.949997,69.739998,68.489998,69.349998,66.061249,2402700
2016-10-14,69.250000,69.489998,68.930000,68.980003,65.708801,1761700
2016-10-17,69.320000,69.540001,68.279999,68.489998,65.242012,2489900
2016-10-18,68.889999,69.070000,68.580002,68.690002,65.432549,1314700
2016-10-19,68.800003,69.000000,68.349998,68.699997,65.442062,1546700
2016-10-20,68.879997,68.879997,67.849998,67.980003,64.756210,2497600
2016-10-21,67.680000,68.230003,67.089996,67.930000,64.708580,2588800
2016-10-24,68.279999,68.839996,68.010002,68.269997,65.032471,1888100
2016-10-25,68.089996,68.360001,67.919998,68.169998,64.937202,1772100
2016-10-26,68.410004,68.760002,68.040001,68.269997,65.032471,1533900
2016-10-27,68.470001,68.639999,67.410004,67.449997,64.251358,2503700
2016-10-28,67.570000,68.660004,67.440002,68.339996,65.099121,2089700
2016-10-31,68.410004,69.220001,68.339996,69.089996,65.813568,2876200
2016-11-01,69.040001,69.290001,68.650002,69.050003,65.775475,2738300
2016-11-02,68.849998,69.790001,68.849998,69.599998,66.299400,2647900
2016-11-03,69.790001,69.910004,68.360001,68.529999,65.280136,2979500
2016-11-04,68.570000,69.150002,68.040001,68.529999,65.280136,2350400
2016-11-07,69.129997,70.010002,69.000000,69.769997,66.461327,2142500
2016-11-08,69.830002,70.080002,68.919998,69.720001,66.413696,1978000
2016-11-09,68.639999,71.510002,68.379997,71.500000,68.109283,3273600
2016-11-10,71.750000,74.599998,71.730003,74.379997,70.852707,6958600
2016-11-11,74.400002,75.449997,73.889999,74.699997,71.157524,4009400
2016-11-14,75.000000,76.900002,74.980003,76.660004,73.024590,4564100
2016-11-15,76.589996,77.099998,75.750000,76.849998,73.205559,4336900
2016-11-16,77.709999,77.750000,76.480003,76.639999,73.005539,2850500
2016-11-17,76.489998,76.989998,75.940002,76.910004,73.262726,3201100
2016-11-18,76.790001,77.110001,76.180000,76.870003,73.224640,3002700
2016-11-21,76.500000,76.860001,76.029999,76.739998,73.100792,3173600
2016-11-22,77.510002,80.000000,77.510002,79.300003,75.539413,4842500
2016-11-23,79.459999,80.330002,79.220001,79.709999,75.929955,2450600
2016-11-25,80.150002,80.669998,79.730003,80.059998,76.263359,1408700
2016-11-28,79.769997,80.519997,78.379997,78.660004,74.929741,4354100
2016-11-29,78.599998,78.830002,77.419998,78.309998,74.596352,4007300
2016-11-30,77.940002,78.540001,77.089996,77.320000,73.653282,7159200
2016-12-01,72.489998,74.160004,70.589996,73.480003,69.995384,13129300
2016-12-02,72.980003,74.790001,72.930000,74.559998,71.024178,5708400
2016-12-05,74.940002,76.449997,74.650002,76.370003,72.748337,3648800
2016-12-06,76.620003,76.620003,75.220001,75.690002,72.100594,3029800
2016-12-07,75.440002,77.120003,75.440002,77.099998,73.443718,3235400
2016-12-08,77.040001,77.379997,76.589996,76.919998,73.272255,2191600
2016-12-09,76.739998,77.529999,76.660004,77.199997,73.538979,2132600
2016-12-12,76.860001,77.120003,75.690002,76.209999,72.595940,2848000
2016-12-13,76.040001,76.919998,74.620003,75.959999,72.357765,4332200
2016-12-14,76.110001,76.550003,74.730003,75.889999,72.291107,3004100
2016-12-15,76.029999,77.180000,75.989998,77.110001,73.453232,2280100
2016-12-16,77.000000,78.010002,76.639999,77.099998,73.443718,4312100
2016-12-19,76.620003,77.110001,75.879997,75.949997,72.583626,1867300
2016-12-20,76.089996,77.660004,76.089996,77.269997,73.845093,3486100
2016-12-21,77.000000,78.059998,76.529999,77.430000,73.998016,1977700
2016-12-22,77.000000,77.160004,74.160004,74.360001,71.064087,3475200
2016-12-23,74.519997,75.209999,73.980003,74.139999,70.853836,1261000
2016-12-27,74.470001,75.099998,74.160004,74.529999,71.226563,1491700
2016-12-28,74.809998,75.000000,73.750000,74.019997,70.739143,1322300
2016-12-29,73.900002,74.430000,73.839996,74.129997,70.844284,1135100
2016-12-30,74.099998,74.440002,73.669998,74.070000,70.786957,1589400
2017-01-03,74.339996,74.419998,73.209999,74.190002,70.901634,2003600
2017-01-04,74.639999,76.290001,74.559998,76.040001,72.669609,3021700
2017-01-05,74.910004,75.180000,73.769997,74.519997,71.216980,2829600
2017-01-06,74.419998,74.419998,73.290001,73.349998,70.098854,2523100
2017-01-09,73.169998,73.989998,72.820000,73.730003,70.462006,2469700
2017-01-10,73.739998,74.839996,73.459999,74.250000,70.958961,2022400
2017-01-11,74.480003,74.669998,73.300003,73.419998,70.165749,3764200
2017-01-12,73.349998,74.070000,73.269997,73.589996,70.328224,2078100
2017-01-13,72.959999,73.610001,72.330002,73.089996,69.850365,2046200
2017-01-17,73.349998,75.620003,73.070000,74.330002,71.035408,2652800
2017-01-18,73.849998,74.139999,72.169998,72.440002,69.229195,2457300
2017-01-19,72.239998,72.430000,70.940002,71.010002,67.862579,2699800
2017-01-20,71.070000,71.459999,69.870003,71.000000,67.853020,3997200
2017-01-23,70.870003,71.000000,70.029999,70.459999,67.336960,2127600
2017-01-24,70.730003,71.849998,70.550003,71.750000,68.569771,3279600
2017-01-25,71.959999,72.500000,71.440002,71.959999,68.770462,3043900
2017-01-26,71.650002,72.089996,71.440002,71.690002,68.512436,2236300
2017-01-27,72.099998,72.199997,70.110001,70.309998,67.193596,2228000
2017-01-30,70.220001,72.190002,70.019997,72.000000,68.808685,2314500
2017-01-31,71.279999,73.930000,71.169998,73.820000,70.548019,4072300
2017-02-01,73.639999,74.080002,73.029999,73.389999,70.137085,2607800
2017-02-02,73.589996,74.180000,73.220001,73.500000,70.242203,1679400
2017-02-03,73.489998,74.160004,72.849998,73.139999,69.898170,2435400
2017-02-06,72.559998,73.040001,72.199997,72.260002,69.057167,2105100
2017-02-07,72.669998,73.190002,72.169998,72.800003,69.573235,2055300
2017-02-08,73.089996,75.129997,72.699997,75.070000,71.742607,2760900
2017-02-09,75.070000,78.389999,75.070000,77.709999,74.265617,4862500
