Date,Open,High,Low,Close,Adj Close,Volume
2016-09-06,72.760002,73.080002,72.199997,73.000000,65.758080,9570900
2016-09-07,73.000000,73.050003,72.010002,72.059998,64.911324,9618300
2016-09-08,71.889999,72.320000,71.709999,71.830002,64.704163,9661200
2016-09-09,71.320000,71.510002,70.300003,70.300003,63.325943,12172600
2016-09-12,70.790001,72.239998,70.720001,71.940002,64.803238,10864000
2016-09-13,71.839996,71.910004,71.150002,71.459999,64.370857,7507900
2016-09-14,71.620003,72.059998,71.400002,71.519997,64.424896,6980500
2016-09-15,71.480003,72.559998,71.260002,72.400002,65.217606,7295600
2016-09-16,72.320000,72.959999,72.220001,72.870003,65.640984,13935700
2016-09-19,72.639999,72.870003,72.089996,72.089996,64.938354,6920700
2016-09-20,72.150002,72.550003,71.900002,71.970001,64.830269,5910600
2016-09-21,72.180000,72.540001,71.510002,72.190002,65.028427,6675900
2016-09-22,72.430000,72.540001,71.989998,72.269997,65.100494,5871900
2016-09-23,72.599998,72.769997,72.339996,72.349998,65.172546,7696400
2016-09-26,72.309998,72.330002,71.519997,71.620003,64.514984,5948700
2016-09-27,71.930000,72.489998,71.580002,72.330002,65.154549,6344400
2016-09-28,72.220001,72.320000,71.379997,71.790001,64.668106,6184900
2016-09-29,71.570000,71.709999,70.620003,70.730003,63.713276,7996800
2016-09-30,71.500000,72.459999,71.400002,72.120003,64.965401,9982600
2016-10-03,71.830002,72.150002,71.599998,72.010002,64.866287,5857700
2016-10-04,72.000000,72.570000,71.550003,71.750000,64.632088,6569300
2016-10-05,71.870003,72.269997,71.599998,71.669998,64.560013,6464400
2016-10-06,71.669998,71.669998,68.889999,69.360001,62.479202,20110300
2016-10-07,69.260002,69.470001,68.169998,68.699997,61.884663,12653800
2016-10-10,68.750000,68.959999,67.750000,67.980003,61.236076,8988400
2016-10-11,67.949997,67.959999,67.300003,67.389999,60.704609,8591500
2016-10-12,67.739998,67.910004,67.370003,67.459999,60.767670,8940700
2016-10-13,67.190002,68.540001,67.070000,68.230003,61.461285,9193800
2016-10-14,68.419998,68.809998,68.209999,68.449997,61.659451,6416000
2016-10-17,68.650002,68.650002,67.800003,68.220001,61.452278,7493400
2016-10-18,68.570000,68.980003,68.230003,68.870003,62.037792,7857700
2016-10-19,69.220001,69.339996,68.690002,68.889999,62.055817,7123300
2016-10-20,68.980003,69.080002,68.570000,68.730003,61.911678,6294000
2016-10-21,68.339996,68.629997,67.989998,68.339996,61.560368,7844600
2016-10-24,68.620003,69.370003,68.389999,69.190002,62.326057,7163600
2016-10-25,69.010002,69.870003,69.000000,69.360001,62.479202,7629700
2016-10-26,69.300003,69.809998,69.139999,69.589996,62.686359,5050500
2016-10-27,69.599998,70.000000,69.389999,69.830002,62.902576,7131600
2016-10-28,69.800003,70.209999,69.730003,69.989998,63.046688,6952900
2016-10-31,70.059998,70.169998,69.849998,70.019997,63.073708,6389000
2016-11-01,69.980003,70.059998,69.139999,69.300003,62.425140,8838600
2016-11-02,69.199997,69.970001,69.199997,69.449997,62.560257,7645300
2016-11-03,69.629997,70.080002,69.349998,69.629997,62.722385,6803900
2016-11-04,69.709999,69.940002,69.129997,69.160004,62.299034,7262100
2016-11-07,69.620003,69.839996,69.160004,69.779999,62.857529,9755400
2016-11-08,69.709999,70.040001,69.470001,69.790001,62.866524,7621300
2016-11-09,69.300003,71.500000,69.290001,71.099998,64.046570,16779500
2016-11-10,71.250000,72.089996,71.000000,71.389999,64.307793,14321300
2016-11-11,71.110001,71.279999,70.599998,71.230003,64.163673,8223900
2016-11-14,71.160004,71.309998,70.190002,70.489998,63.497082,12917500
2016-11-15,70.790001,71.419998,70.349998,71.419998,64.334824,9725100
2016-11-16,71.750000,72.059998,71.330002,71.389999,64.307793,11192400
2016-11-17,69.080002,69.519997,68.120003,69.190002,62.326057,23440300
2016-11-18,68.930000,69.400002,68.440002,68.540001,61.740520,11135300
2016-11-21,68.540001,69.400002,68.419998,69.370003,62.488194,8356000
2016-11-22,69.730003,70.419998,69.730003,70.120003,63.163792,10984000
2016-11-23,70.220001,70.889999,70.180000,70.830002,63.803356,7398900
2016-11-25,71.110001,71.650002,70.980003,71.230003,64.163673,4234400
2016-11-28,70.930000,71.519997,70.800003,71.190002,64.127640,7099200
2016-11-29,71.379997,71.790001,71.199997,71.370003,64.289795,7310100
2016-11-30,70.919998,71.160004,70.169998,70.430000,63.443024,9326100
2016-12-01,70.250000,70.730003,70.050003,70.669998,63.659206,6849800
2016-12-02,70.580002,70.949997,70.449997,70.879997,63.848392,6674200
2016-12-05,70.900002,70.989998,69.809998,69.940002,63.001652,10527900
2016-12-06,70.010002,70.389999,69.500000,70.360001,63.379974,7778000
2016-12-07,69.930000,70.650002,69.900002,70.599998,64.051323,6966200
2016-12-08,70.480003,70.900002,70.320000,70.339996,63.815464,6844200
2016-12-09,70.269997,70.430000,69.739998,70.080002,63.579582,10756700
2016-12-12,70.070000,71.779999,70.019997,71.669998,65.022095,9084100
2016-12-13,71.669998,72.230003,71.610001,71.800003,65.140022,8887500
2016-12-14,71.900002,72.480003,71.180000,71.339996,64.722672,8669400
2016-12-15,71.220001,71.800003,71.029999,71.080002,64.486824,7136300
2016-12-16,71.070000,71.639999,70.599998,70.980003,64.396103,17844800
2016-12-19,70.839996,71.750000,70.839996,71.580002,64.940445,5889300
2016-12-20,71.730003,71.930000,71.510002,71.820000,65.158165,6108100
2016-12-21,71.660004,72.000000,71.239998,71.239998,64.631973,5101000
2016-12-22,71.239998,71.239998,69.209999,69.589996,63.135014,12106800
2016-12-23,69.430000,69.750000,69.360001,69.540001,63.089680,4803900
2016-12-27,69.300003,69.820000,69.250000,69.699997,63.234821,4435700
2016-12-28,69.940002,70.000000,69.260002,69.309998,62.881001,4875700
2016-12-29,69.209999,69.519997,69.120003,69.260002,62.835640,4298400
2016-12-30,69.120003,69.430000,68.830002,69.120003,62.708622,6889500
2017-01-03,69.239998,69.239998,68.050003,68.660004,62.291290,10473200
2017-01-04,68.660004,69.629997,68.599998,69.059998,62.654186,7918000
2017-01-05,68.430000,69.330002,68.120003,69.209999,62.790272,7099200
2017-01-06,68.410004,68.500000,68.010002,68.260002,61.928383,9491100
2017-01-09,68.330002,68.800003,68.320000,68.709999,62.336643,8685200
2017-01-10,68.639999,69.269997,68.220001,68.230003,61.901173,10256500
2017-01-11,68.199997,68.620003,68.190002,68.529999,62.173344,6697600
2017-01-12,68.360001,68.559998,67.919998,67.970001,61.665298,6544900
2017-01-13,67.980003,68.019997,67.080002,67.129997,60.903202,10012500
2017-01-17,68.099998,69.290001,68.059998,68.419998,62.073566,13167500
2017-01-18,67.879997,68.110001,67.540001,68.110001,61.792320,7321500
2017-01-19,68.129997,68.190002,67.480003,67.620003,61.347752,6821100
2017-01-20,67.739998,67.830002,67.019997,67.180000,60.948566,12054700
2017-01-23,67.010002,67.180000,66.559998,66.650002,60.467720,7951400
2017-01-24,66.889999,67.410004,66.660004,67.400002,61.148167,10710600
2017-01-25,67.519997,67.730003,66.790001,66.889999,60.685471,8722900
2017-01-26,67.129997,67.220001,66.620003,66.730003,60.540314,6504100
2017-01-27,66.860001,66.970001,65.279999,65.660004,59.569572,13433600
2017-01-30,65.629997,66.480003,65.629997,66.419998,60.259071,8641500
2017-01-31,66.209999,66.889999,65.879997,66.739998,60.549374,9320900
2017-02-01,66.459999,66.709999,66.040001,66.230003,60.086685,9050000
2017-02-02,66.339996,67.139999,66.339996,66.699997,60.513088,8998700
2017-02-03,66.820000,66.930000,66.440002,66.500000,60.331631,7625300
2017-02-06,66.370003,66.860001,66.370003,66.400002,60.240925,9097200
2017-02-07,66.559998,67.000000,66.510002,66.889999,60.685471,5805700
2017-02-08,66.889999,67.820000,66.889999,67.809998,61.520126,7660800
2017-02-09,67.809998,69.139999,67.750000,69.080002,62.672337,11080500
2017-02-10,68.250000,68.599998,67.760002,68.019997,61.710659,12445600
2017-02-13,68.320000,68.650002,67.559998,67.769997,61.483826,8374300
2017-02-14,67.879997,68.680000,67.709999,68.660004,62.291290,8462300
2017-02-15,67.800003,68.709999,67.760002,68.690002,62.318508,8563300
2017-02-16,68.669998,69.239998,68.610001,68.870003,62.481808,8413800
2017-02-17,68.830002,69.790001,68.690002,69.370003,62.935432,12837400
2017-02-21,71.209999,72.279999,70.699997,71.449997,64.822502,22412900
2017-02-22,72.250000,72.370003,71.480003,71.709999,65.058372,15242700
2017-02-23,72.000000,72.500000,71.160004,71.309998,64.695473,12799700
2017-02-24,71.339996,72.800003,71.300003,72.389999,65.675308,13889900
2017-02-27,72.279999,72.419998,71.529999,71.739998,65.085602,9254700
2017-02-28,70.870003,71.000000,70.000000,70.930000,64.350739,15952600
2017-03-01,70.970001,71.080002,70.150002,70.449997,63.915245,13522700
2017-03-02,70.419998,70.900002,70.169998,70.760002,64.196495,8916300
2017-03-03,70.760002,71.019997,69.879997,70.029999,63.534214,9297900
2017-03-06,70.000000,70.440002,69.779999,69.879997,63.398129,9182600
2017-03-07,69.900002,70.209999,69.860001,69.870003,63.389057,7282900
2017-03-08,69.690002,70.029999,69.540001,69.800003,63.791195,7979800
2017-03-09,69.750000,70.040001,69.559998,69.860001,63.846020,7564500
2017-03-10,70.000000,70.360001,69.800003,70.099998,64.065323,7098800
2017-03-13,69.989998,70.449997,69.709999,69.949997,63.928272,6802500
2017-03-14,70.820000,71.209999,70.720001,70.720001,64.631973,9958400
2017-03-15,70.500000,70.699997,70.019997,70.580002,64.504013,8813800
2017-03-16,70.110001,70.699997,70.070000,70.440002,64.376076,7061000
2017-03-17,70.580002,70.750000,69.809998,69.889999,63.873421,14078400
2017-03-20,70.139999,70.449997,69.709999,69.980003,63.955677,7466200
2017-03-21,70.169998,70.400002,69.690002,69.900002,63.882557,8746800
2017-03-22,70.029999,70.339996,69.720001,70.250000,64.202431,6455600
2017-03-23,70.199997,70.309998,69.750000,69.860001,63.846020,6898800
2017-03-24,69.989998,70.169998,69.529999,69.610001,63.617527,5859000
2017-03-27,69.519997,70.070000,69.360001,69.660004,63.663235,5792600
2017-03-28,69.330002,70.370003,69.330002,70.320000,64.266396,7252200
2017-03-29,70.349998,71.180000,70.309998,70.739998,64.650246,6991000
2017-03-30,70.690002,71.720001,70.639999,71.589996,65.427078,8141500
2017-03-31,71.320000,72.559998,71.230003,72.080002,65.874893,9939800
2017-04-03,72.080002,72.529999,71.779999,71.830002,65.646423,8291300
2017-04-04,71.739998,72.059998,71.529999,72.010002,65.810913,5567300
2017-04-05,71.639999,72.309998,71.559998,71.650002,65.481918,6354500
2017-04-06,71.699997,72.099998,71.379997,71.430000,65.280853,5941100
2017-04-07,72.099998,72.989998,71.800003,72.900002,66.624298,10768000
2017-04-10,72.989998,73.480003,72.730003,73.059998,66.770531,7495900
2017-04-11,73.000000,73.449997,72.930000,73.430000,67.108673,5810500
2017-04-12,73.550003,73.830002,73.250000,73.440002,67.117821,6627300
2017-04-13,73.370003,73.660004,73.150002,73.150002,66.852783,5336400
2017-04-17,73.160004,73.580002,73.150002,73.489998,67.163506,5465400
2017-04-18,73.540001,74.099998,73.480003,73.889999,67.529083,6627900
2017-04-19,74.099998,74.379997,73.860001,74.070000,67.693581,5940600
2017-04-20,74.139999,75.110001,74.110001,74.800003,68.360748,7681300
2017-04-21,74.739998,75.110001,74.599998,74.940002,68.488678,5755700
2017-04-24,75.080002,75.400002,74.419998,74.779999,68.342461,7812500
2017-04-25,74.970001,75.169998,74.860001,75.050003,68.589226,5720400
2017-04-26,75.269997,75.769997,75.169998,75.430000,68.936508,6948500
